"NúmeroCaso","Ano","Data","Hora_UTC","Período","lat_d","lon_d","Estado_Costeiro","Resumo","iso_alpha","iso_num","Navio","Tipo_Navio","Bandeira","Estado do Navio","Distância_Costa(MN)","ÁREA_NAVEGAÇÃO","Classificação_Ataque","N_Criminosos","Armamento","Hijack","Sequestro","N_Sequestrados","Rapto","N_Raptados","Feridos","N_Feridos","Mortos","N_Mortos","MedidasProteção","Alarme","Ajuda_Autoridades","Equipa_Segurança","CIDADELA","Manobra_Evasiva","ValoresRoubados_Navio","Carga_Roubada","OBS","","","","","","","","","","",""
"#VALUE!","2015","12/5/2015","1:39","Noturno ","-4.75","11.783333333333"," Congo","Three robbers boarded the anchored ship via the anchor chain. Duty crew on routine rounds spotted the robbers, raised the alarm and crew mustered. Upon seeing the alerted crew the robbers fled. A search was eventually conducted, following which it was determined that protective covers of anchor pipes had been damaged but nothing had been stolen. Incident reported to port control.","COG","178","ASIA PEARL III","Bulk Carrier","Singapura","Fundeado","1.5","Área Portuária","NCONSEGUIDO","3","UNK","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","Apenas foram danificadas partes do ferro e da amarra do navio","","","","","","","","","","",""
"#VALUE!","2016","7/7/2016","6:50","Diurno","3.2666666666667","5.15"," Nigéria","Armed pirates approached and fired upon the tanker underway. As the boat came alongside the tanker the alarm was raised and all crew retreated into the citadel from where they controlled the tanker. After around four hours the crew emerged from the citadel. Bridge windows were shattered due to the firing. All crew members reported safe. The tanker continued her voyage to the port of destination.","NGA","566","BOUBOULINA","Tanker","Grécia","Navegar","85","Águas Internacionais","NCONSEGUIDO","UNK","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","","","","","","","","","","","",""
"#VALUE!","2008","1/14/2008","0:44","Noturno ","-8.715","13.313333333333","Angola","Two robbers boarded the ship from a small boat. They broke open the forecastle paint store and stole ships stores. Robbers were spotted by ships crew. Alarm raised, the robbers jumped overboard and escaped. Ships stores stolen. Raised alarm and mustered crew. Incident reported to UKMTO Dubai, Port authorities and Ministryof Home Affairs - Directorate of Exchange and Co-operation, Angola","AGO","24","GLOBAL PATRIOT","Cargo Ship","EUA","Fundeado","2.5","Área Portuária","ROUBO","2","UNK","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2008","1/23/2008","5:20","Noturno ","-8.77","13.273333333333","Angola","Pirates boarded the ship, broke open the forward paint locker and stole ships stores unnoticed. The ship was later searched but no pirates were found. No injuries to crew. Authorities notified. Ships stores stolen. Alarm raised. Incident reported to Port authorities, Luanda and Ministry of Home Affairs - Directorate of Exchange and Cooperation, Angola","AGO","24","GLOBAL PATRIOT","Cargo Ship","EUA","Fundeado","0.4","Área Portuária","ROUBO","6","UNK","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2010","8/31/2010","1:10","Noturno ","-5.8733333333333","13.031666666667","Angola","Three robbers armed with knives in a boat boarded the ship at anchor. They stole ships stores and escaped. Ships stores stolen. Raised alarm and crew mustered","AGO","24","YEMA","Tanker","Libéria","Fundeado","0.1","Área Portuária","ROUBO","3","Knives","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2010","9/4/2010","0:30","Noturno ","-5.8655","13.050166666667","Angola","Three pirates armed with long knives boarded the ship underway. Duty officer noticed them and raised alarm. The pirates stole ships stores and escaped. Ships stores stolen Raised alarm.","AGO","24","BRIGHT STAR","Bulk Carrier","Panamá","Navegar","0.1","Área Portuária","ROUBO","3","Knives","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2011","6/18/2011","2:10","Noturno ","-5.865","13.041666666667","Angola","A deck watchman onboard an anchored ship noticed a robber with a long knife hiding on the forecastle deck. The robber jumped overboard when the deck watchman illuminated the area with his flashlight. Nothing reported stolen.","AGO","24","Fuji Bay","Bulk Carrier","Libéria","Fundeado","0.25","Área Portuária","ROUBO","1","Knives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","",""
"#VALUE!","2011","7/19/2011","19:35","Diurno","-8.4166666666667","12.35","Angola","Persons in a speed boat approached the tanker underway. They tried to approach the tankers port side. D/O informed the Master who took evasive manoeuvres and increased speed to maximum. Alarm raised, crew mustered and  activated the fire pumps. The speed boat doing 20 knots kept on chasing the tanker. At 2155 LT the distance increased and  the speed boat aborted the attempted attack. Incident reported to Luanda port and the tanker continued her passage.","AGO","24","Rich Duke II","Tanker","Panamá","Navegar","65","Águas Internacionais","NCONSEGUIDO","6","UNK","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","","","","","","","","","","","",""
"#VALUE!","2012","3/14/2012","1:30","Noturno ","-6.8658333333333","13.051833333333","Angola","Ten robbers in two boats boarded the ship at anchor. They took duty A/B as hostage and attempted to enter the forward cargo hold by breaking the entrance hatch seal. Robbers of Congo  escaped after 30 minutes with ships cargo and stores. The A/B was slightly injured after being kicked in the back. Port control was contacted but there was no response","AGO","24","Season Trader","Cargo Ship","Filipinas","Fundeado","0.1","Área Portuária","ROUBO","10","UNK","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","",""
"#VALUE!","2014","1/18/2014","6:15","Noturno ","-8.6833333333333","13.25","Angola","A crude oil tanker was reported missing from Luanda anchorage on 18 Jan 2014 and suspected to be hijacked by pirates. All communications with the tanker had been lost. On 26 Jan 2014 the Master made contact with the owners reporting that the tanker had been released and that the pirates had stolen a large amount of cargo. It approximately had about 81 million CBM of Diesel on board. The pirates arrived on a tug called Gare and it was estimated that they headed South Malabo and Sao Tome with the hijacked tanker. One crew was reported injured during the hijacking. In the early hours of 18 January 2014 a 75,000-ton tanker, the MT Kerala, vanished off the coast of Angola. A sophisticated pirate gang hijacked the Greek-owned vessel, disabling its identifications system and communication equipment, and painting over its identifying markers.More than a week later and 1,300 miles away, the hijackers released Kerala off the coast of Nigeria, after offloading 12,270 tons of its diesel cargo to other ships.The Kerala hijacking marks the southernmost expansion of Nigeria’s pirate gangs, but represents only one subset of piracy in the Gulf of Guinea. The waters of Gabon and Equatorial Guinea each suffered pirate attacks in the first week of 2014.Off Nigeria the epicenter of western Africa piracy there have been at least 12 attacks against various types of vessels this year, resulting in multiple kidnappings. Within the swampy maze of the Niger Delta, militants-cum-pirates have robbed passenger vessels, kidnapped oil workers and ambushed security-force patrols.This level of organized piracy as distinguished from opportunistic robberies against berthed and anchored vessels—can be sorted into two different categories: tanker hijackings for product theft and maritime kidnapping for ransom.Both forms are intertwined with the regional oil industry, but their distinct perpetrators, targets, and trend lines warrant separate looks. First, tanker hijackings.Tanker hijackings aimed at large-scale cargo theft first appeared off Benin in December 2010 and spread to the waters of Nigeria, Togo, Côte d’Ivoire, Gabon, and Angola in subsequent years. This western Nigeria-based criminal enterprise is highly organized and intelligence driven, allegedly with the involvement of high-powered political, business, and military patrons. As a suspected hijacker captured near Lagos explained:“We do not work in isolation. We have a network of ministries’ workers. What they do is to give us information on the location and content of the vessels to be hijacked. Once we complete the assignment, we would inform the pointsmen who thereafter, contact the cabal that takes charge of the hijacked vessels. We usually meet at a designated point on the high sea, from where they would offload the contents from the hijacked vessels and thereafter, deposit them in various oil facilities for distribution by oil marketers.”The pirates who hijacked Kerala targeted the ship based on foreknowledge of its cargo, location and intended movements. Using a stolen tugboat as a “mother ship,” the hijackers made a multiday voyage all the way to a Luanda anchorage and then selected their target from some 30 other vessels in the area.After hijacking the ship, the pirates sailed towards the Republic of Congo where they made their first sale of stolen diesel. The hijackers later made two more ship-to-ship transfers off the southwest coast of Nigeria before abandoning Kerala on 26 January.If the pirates sold the diesel for half of its $10 million market price, they and their sponsors netted some $5 million in na operation that lasted just over a week.The geographic scope of this particular crime demonstrates the expansive multinational network of informants and buyers hijack syndicates employ. While the leadership of the gangs is Nigerian, they are thought to recruit regionally, as indicated by the testimony of captured pirates and reports of pirates speaking both English and French during attacks","AGO","24","KERALA","Tanker","Libéria","Navegar","7","Mar Territorial","HIJACK/ROUBO","6","UNK","1","1","10","0","0","1","1","0","0","1","0","1","0","0","0","1","1","","","","","","","","","","","",""
"#VALUE!","2016","6/13/2016","20:45","Noturno ","-8.745","13.298333333333","Angola","A robber boarded the anchored tanker and managed to transfer ship's stores into his boat. The alarm was sounded and the crew was able to detained the robber. Port officials and the local police were informed and the robber arrested.","AGO","24","NGOL CUNENE","Tanker","Belize","Fundeado","0.7","Área Portuária","ROUBO","1","UNK","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","PRENDERAM O ASSALTANTE","","","","","","","","","","",""
"#VALUE!","2016","11/30/2016","23:30","Noturno","-8.7483333333333","13.291666666667","Angola","Two robbers boarded the anchored product
tanker. The alarm was raised and crew mustered.
Upon seeing the crew alertness, the robbers fled
with stolen ship’s stores","AGO","24","GUNGA","Product Tanker","Chipre","Fundeado","0.4","Área Portuária","ROUBO","2","UNK","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","","","","","","","","","","","",""
