"","Hora_UTC","Período","lat_d","lon_d","Estado_Costeiro","Tipo_Navio","Bandeira","Estado do Navio","Proximidade_Costa(milhas)","ÁREA_NAVEGAÇÃO","Classificação_Ataque","N_Criminosos","Armamento","Hijack","Sequestro","N_Sequestrados","Rapto","N_Raptados","Feridos","N_Feridos","Mortos","N_Mortos","MedidasProteção","Alarme","Ajuda_Autoridades","Equipa_Segurança","CIDADELA","Manobra_Evasiva","ValoresRoubados_Navio","Carga_Roubada","DATA","Data_hora","onda","vento","chuva"
"0","04:00:00","Noturno ","4.7833333333333","-0.2","Gana","Oil Ship Transporter","Libéria","Navegar","45","Águas Internacionais","HIJACK","6","Desconhecido","1","0","0","1","6","0","0","0","0","1","0","1","0","0","0","1","1","2014-06-04 00:00:00","2014-06-04 04:00:00","2.03","6.91015625","1.6592968677287E-5"
"1","02:00:00","Noturno ","7","1.2666666666667","Gana","Oil Ship Transporter","Ilha de Man","Fundeado","11.5","Mar Territorial","HIJACK","6","Machine Gun","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","2012-08-28 00:00:00","2012-08-28 02:00:00","1.04","4.5782523777174","0"
"2","23:25:00","Noturno ","6.056","1.2743333333333","Togo","Cargo Ship","EUA","Fundeado","6","Mar Territorial","NCONSEGUIDO","6","Desconhecido","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2012-11-21 00:00:00","2012-11-21 23:25:00","0.95","3.8095703125","0"
"3","05:10:00","Noturno ","6.02","1.2883333333333","Togo","Bulk Carrier","Bahamas","Fundeado","8","Mar Territorial","NCONSEGUIDO","4","Desconhecido","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2012-04-12 00:00:00","2012-04-12 05:10:00","1.41","4.4404296875","0"
"4","03:55:00","Noturno ","6.0116666666667","1.3266666666667","Togo","Oil Ship Transporter","IlhasMarshall","Fundeado","9","Mar Territorial","NCONSEGUIDO","6","Desconhecido","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","2011-09-14 00:00:00","2011-09-14 03:55:00","1.27","4.669921875","0"
"5","16:08:00","Diurno","6.019","1.3366666666667","Togo","Oil Ship Transporter","Panamá","Navegar","9.5","Mar Territorial","HIJACK","6","Desconhecido","1","0","0","1","24","0","0","0","0","0","0","0","0","0","0","1","1","2012-04-30 00:00:00","2012-04-30 16:08:00","1.3","4.3095703125","0"
"6","03:30:00","Noturno ","5.4833333333333","1.6333333333333","Gana","Oil Ship Transporter","IlhasMarshall","Navegar","46","Águas Internacionais","HIJACK","16","Machine Gun","1","0","0","1","6","1","2","0","0","1","0","1","0","0","0","1","0","2013-07-16 00:00:00","2013-07-16 03:30:00","1.41","3.75","6.9827447371227E-7"
"7","04:00:00","Noturno","4.9","-1.6833333333333","Gana","Bulk Carrier","Singapura","Fundeado","3","Área Portuária","NCONSEGUIDO","1","Desconhecido","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2018-04-29 00:00:00","2018-04-29 04:00:00","1.2","4.009765625","0"
"8","23:52:00","Noturno ","5.5","1.741","Togo","Oil Ship Transporter","Noruega","Navegar","51","Águas Internacionais","ROUBO","6","Desconhecido","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2011-09-13 00:00:00","2011-09-13 23:52:00","1.43","7.6103515625","1.0636870771827E-5"
"9","14:02:00","Diurno","4.9583333333333","2.2783333333333","Benin","Oil Ship Transporter","Panamá","Navegar","83","Águas Internacionais","HIJACK","8","Desconhecido","1","0","0","1","18","0","0","0","0","1","0","1","0","0","0","0","0","2012-02-09 00:00:00","2012-02-09 14:02:00","1.06","2.3095703125","0"
