"","Hora_UTC","Período","lat_d","lon_d","Estado_Costeiro","Tipo_Navio","Bandeira","Estado do Navio","Distância_Costa(MN)","ÁREA_NAVEGAÇÃO","Classificação_Ataque","N_Criminosos","Armamento","Hijack","Sequestro","N_Sequestrados","Rapto","N_Raptados","Feridos","N_Feridos","Mortos","N_Mortos","MedidasProteção","Alarme","Ajuda_Autoridades","Equipa_Segurança","CIDADELA","Manobra_Evasiva","ValoresRoubados_Navio","Carga_Roubada","DATA","Data_hora"
"0","23:56:00","Noturno ","5.1966666666667","-3.995","Costa do Marfim","Tanker","Libéria","Fundeado","","Mar Territorial","ROUBO","3","Knives","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","2010-01-05 00:00:00","2010-01-05 23:56:00"
"1","22:30:00","Noturno ","9.1896666666667","-14.533833333333","Guiné","Chemical Tanker","IlhasMarshall","Navegar","","Águas Internacionais","NCONSEGUIDO","6","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2010-02-13 00:00:00","2010-02-13 22:30:00"
"2","23:00:00","Noturno ","6.3","-10.763333333333","Libéria","Bulk Carrier","Panamá","Atracado","","Área Portuária","ROUBO","6","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2010-03-03 00:00:00","2010-03-03 23:00:00"
"3","14:25:00","Diurno","4.75","8.3333333333333","Nigéria","Tanker","Singapura","Fundeado","","Área Portuária","ROUBO","3","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2010-03-20 00:00:00","2010-03-20 14:25:00"
"4","05:55:00","Noturno ","-4.7975","11.826666666667","Congo","Cargo Ship","Panamá","Fundeado","","Mar Territorial","ROUBO","2","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2010-03-27 00:00:00","2010-03-27 05:55:00"
"5","01:45:00","Noturno ","5.1966666666667","-3.995","Costa do Marfim","Chemical Tanker","Libéria","Fundeado","","Mar Territorial","ROUBO","6","Knives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2010-04-03 00:00:00","2010-04-03 01:45:00"
"6","12:15:00","Diurno","6.2766666666667","3.4483333333333","Nigéria","Cargo Ship","Antigua&Barbuda","Navegar","","Mar Territorial","NCONSEGUIDO","3","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","2010-04-12 00:00:00","2010-04-12 12:15:00"
"7","03:00:00","Noturno ","-4.5226666666667","11.437833333333","Congo","Tanker","Libéria","Fundeado","","Águas Internacionais","ROUBO","6","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2010-04-24 00:00:00","2010-04-24 03:00:00"
"8","20:45:00","Noturno ","6.1","3.25","Nigéria","Tanker","Panamá","Navegar","","Águas Internacionais","NCONSEGUIDO","6","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","2010-04-27 00:00:00","2010-04-27 20:45:00"
"9","01:00:00","Noturno ","6.2983333333333","3.3583333333333","Nigéria","Bulk Carrier","IlhasMarshall","Fundeado","","Mar Territorial","ROUBO","7","Machine Gun/ Knives","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","2010-05-04 00:00:00","2010-05-04 01:00:00"
"10","22:55:00","Noturno ","3.7366666666667","9.4098333333333","Camarões","Bulk Carrier","Lituania","Fundeado","","Mar Territorial","ROUBO/SEQUESTRO","10","Machine Gun","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2010-05-16 00:00:00","2010-05-16 22:55:00"
"11","21:40:00","Noturno ","3.7333333333333","9.4166666666667","Camarões","Cargo Ship","SãoVicente&Granadinas","Fundeado","","Mar Territorial","ROUBO/SEQUESTRO","23","Machine Gun","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2010-05-17 00:00:00","2010-05-17 21:40:00"
"12","23:03:00","Noturno ","5.22","-4.3433333333333","Costa do Marfim","Cargo Ship","Libéria","Fundeado","","Mar Territorial","ROUBO","5","Knives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2010-06-13 00:00:00","2010-06-13 23:03:00"
"13","00:30:00","Noturno ","4.1516666666667","7.0316666666667","Nigéria","Bulk Carrier","Panamá","Fundeado","","Águas Internacionais","NCONSEGUIDO","12","Machine Gun","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","2010-06-27 00:00:00","2010-06-27 00:30:00"
"14","16:19:00","Diurno","4.1875","6.9173333333333","Nigéria","Cargo Ship","Antigua&Barbuda","Navegar","","Mar Territorial","ROUBO/SEQUESTRO","12","Machine Gun","0","1","12","0","0","1","1","0","0","1","1","0","0","0","0","1","0","2010-07-02 00:00:00","2010-07-02 16:19:00"
"15","05:00:00","Noturno ","9.5166666666667","-13.716666666667","Guiné","Tanker","China","Fundeado","","Área Portuária","ROUBO","6","","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","2010-07-08 00:00:00","2010-07-08 05:00:00"
"16","02:00:00","Noturno ","4.2666666666667","8.8666666666667","Camarões","Tanker","Malta","Navegar","","Mar Territorial","NCONSEGUIDO","12","Machine Gun","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","2010-07-25 00:00:00","2010-07-25 02:00:00"
"17","15:36:00","Diurno","4.0833333333333","6.75","Nigéria","Cargo Ship","Países Baixos","Navegar","","Águas Internacionais","SEQUESTRO","7","Machine Gun","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","2010-08-11 00:00:00","2010-08-11 15:36:00"
"18","03:00:00","Noturno ","9.32","-13.753333333333","Guiné","Cargo Ship","IlhasMarshall","Fundeado","","Mar Territorial","ROUBO","10","Machine Gun/ Knives","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","2010-08-25 00:00:00","2010-08-25 03:00:00"
"19","01:10:00","Noturno ","-5.8733333333333","13.031666666667","Angola","Tanker","Libéria","Fundeado","","Área Portuária","ROUBO","3","Knives","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","2010-08-31 00:00:00","2010-08-31 01:10:00"
"20","00:30:00","Noturno ","-5.8655","13.050166666667","Angola","Bulk Carrier","Panamá","Navegar","","Área Portuária","ROUBO","3","Knives","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","2010-09-04 00:00:00","2010-09-04 00:30:00"
"21","21:30:00","Noturno ","3.8833333333333","9.5333333333333","Camarões","Cargo Ship","SãoCristóvão&Neves","Fundeado","","Área Portuária","ROUBO","12","Machine Gun","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","1","0","2010-09-12 00:00:00","2010-09-12 21:30:00"
"22","03:30:00","Noturno ","3.8758333333333","9.535","Camarões","Cargo Ship","IlhasMarshall","Fundeado","","Área Portuária","ROUBO","2","Knives","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","2010-09-19 00:00:00","2010-09-19 03:30:00"
